Applicant_ID,Identity_Card,Name,Age,Gender,Education_Level,Field_of_Study,Education_Background,Skills,Graduation_Year,Experience_Years,Certifications,Job_Applied,Required_Education_Levels,Required_Fields,Required_Min_Experience,Required_Max_Experience,Required_Skills,Required_Certifications,Shortlisted
5021,1198870002793462,MUKANDORI Theogene,37,Female,PhD,Nursing,PhD in Nursing,"Medical Records, Emergency Response, Clinical Skills, CPR, Healthcare Ethics, Patient Care",2015,10,"BLS, PALS, CCRN",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
5022,1196770004797032,MUKAMURENZI Paul,58,Female,Bachelor's,Engineering,Bachelor's in Engineering,"SolidWorks, Quality Control, Project Management",1991,34,"Six Sigma Green Belt, LEED",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
5023,2198970007920894,MUKAYIRANGA Patrick,36,Female,Master's,Accounting,Master's in Accounting,"SAP, Taxation, Financial Reporting",2016,9,None,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",1
5024,1196870008826617,MUKAMURENZI Diane,57,Female,Bachelor's,Computer Science,Bachelor's in Computer Science,"Machine Learning, Java, C++, Web Development",1990,35,None,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
5025,1197780002297828,RUTAYISIRE Patrick,48,Male,Master's,Computer Science,Master's in Computer Science,"SQL, C++, Algorithms, Data Structures, Machine Learning",2004,21,CISSP,Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",0
5026,1199680003385166,KALISA Emmanuel,29,Male,Master's,Business Administration,Master's in Business Administration,"Negotiation, Business Analysis, Strategic Planning, Communication, Leadership",2020,5,Six Sigma,Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",1
5027,1200170007753433,MUKARUHOGO Grace,24,Female,Bachelor's,Engineering,Bachelor's in Engineering,"Technical Drawing, Quality Control, SolidWorks, MATLAB, Project Management, AutoCAD",2024,1,None,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
5028,2197470001380056,MUKANDORI Patrick,51,Female,Master's,Business Administration,Master's in Business Administration,"Project Management, Strategic Planning, Negotiation, Business Analysis, Leadership, Communication",2000,25,"MBA, Six Sigma, CAPM",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
5029,1200370001587904,MUKAMURENZI Claudine,22,Female,Bachelor's,Engineering,Bachelor's in Engineering,"AutoCAD, Project Management, Technical Drawing, SolidWorks, Quality Control, MATLAB",2025,0,"LEED, PMI-PMP",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
5030,1196980000590468,TWAGIRAYEZU Jean,56,Male,Master's,Economics,Master's in Economics,"Statistical Analysis, Data Visualization, Python, Forecasting, Econometrics",1998,27,FRM,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
5031,2197370009782686,MUKAGASANA Theogene,52,Female,Bachelor's,Information Technology,Bachelor's in Information Technology,"Database Administration, Cloud Computing, Linux, Networking, Windows Server",1997,28,"CCNA, CEH",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
5032,1197470007039395,MUKAMANA Peter,51,Female,Master's,Business Administration,Master's in Business Administration,"Project Management, Strategic Planning, Negotiation, Communication",2003,22,CAPM,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
5033,1198470006379325,MUKARUHOGO Diane,41,Female,Bachelor's,Accounting,Bachelor's in Accounting,"Auditing, Financial Reporting, QuickBooks",2008,17,"CMA, CIA",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
5034,1200080009677434,TWAGIRAYEZU Chantal,25,Male,Master's,Nursing,Master's in Nursing,"CPR, Healthcare Ethics, Patient Care, Emergency Response, Clinical Skills",2024,1,None,Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",1
5035,2199470003529013,MUKAGASANA Claudine,31,Female,Bachelor's,Business Administration,Bachelor's in Business Administration,"Business Analysis, Communication, Project Management, Strategic Planning",2018,7,"Six Sigma, MBA",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
5036,1200470000177675,MUKAMURENZI Florence,21,Female,Diploma,Information Technology,Diploma in Information Technology,"Linux, Windows Server, Cloud Computing",2024,1,"CCNA, CEH",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
5037,1196870006440841,MUKANDORI Chantal,57,Female,Master's,Computer Science,Master's in Computer Science,"Web Development, Java, C++, Python, Machine Learning, Data Structures",1997,28,"CompTIA Security+, CISSP",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
5038,2197370004768519,MUKAYIRANGA Patrick,52,Female,PhD,Business Administration,PhD in Business Administration,"Strategic Planning, Business Analysis, Communication, Leadership, Project Management, Negotiation",2002,23,MBA,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
5039,1196980008041699,RUKUNDO Olivier,56,Male,Bachelor's,Business Administration,Bachelor's in Business Administration,"Business Analysis, Negotiation, Communication, Leadership, Strategic Planning, Project Management",1994,31,MBA,Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
5040,1197370008493197,MUKANYIRABUKA Alice,52,Female,Bachelor's,Education,Bachelor's in Education,"Assessment, Classroom Management, Educational Technology, Lesson Planning",1997,28,"Teaching License, CPCE",Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",0
5041,1199570000486782,MUKANDORI Marie,30,Female,Bachelor's,Economics,Bachelor's in Economics,"R, Data Visualization, Econometrics, Python",2019,6,None,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
5042,1197970003402164,MUKANDAYA Theogene,46,Female,Master's,Education,Master's in Education,"Assessment, Lesson Planning, Curriculum Development, Educational Technology, Classroom Management",2006,19,National Board Certification,Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
5043,1199680002943227,RUTAYISIRE Emmanuel,29,Male,Diploma,Education,Diploma in Education,"Curriculum Development, Classroom Management, Lesson Planning",2016,9,"National Board Certification, CPCE",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
5044,1196980008020540,RUTAYISIRE Theogene,56,Male,PhD,Accounting,PhD in Accounting,"Excel, SAP, QuickBooks, Financial Reporting",2004,21,"CPA, CMA",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
5045,1197880005638040,NDAYISENGA Patrick,47,Male,Master's,Computer Science,Master's in Computer Science,"Algorithms, Java, C++, Machine Learning, SQL",2004,21,"CompTIA Security+, CISSP",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",1
5046,1196680006888334,KALISA Diane,59,Male,Bachelor's,Education,Bachelor's in Education,"Educational Technology, Assessment, Curriculum Development",1990,35,"TESOL, Teaching License, National Board Certification",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
5047,1198470003764789,MUKARUHOGO Claudine,41,Female,Bachelor's,Economics,Bachelor's in Economics,"Econometrics, Data Visualization, Statistical Analysis, R",2006,19,"FRM, Certified Business Economist, CFA",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
5048,1199770005068358,MUKANDAYA Jean,28,Female,Master's,Education,Master's in Education,"Assessment, Educational Technology, Lesson Planning, Curriculum Development, Classroom Management",2024,1,None,Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
5049,1200170003767041,MUKAGASANA Patrick,24,Female,Bachelor's,Accounting,Bachelor's in Accounting,"Excel, Financial Reporting, Taxation",2023,2,"ACCA, CPA",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",1
5050,1197670004121488,MUKAMUSONERA Claudine,49,Female,Bachelor's,Accounting,Bachelor's in Accounting,"Auditing, Excel, QuickBooks, CPA, Taxation",1998,27,None,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
5051,2200270003771188,MUKANYIRABUKA Olivier,23,Female,Bachelor's,Economics,Bachelor's in Economics,"Econometrics, Statistical Analysis, Python, Data Visualization, R",2024,1,"Certified Business Economist, CFA",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",1
5052,1197980009417371,NSENGIYUMVA Florence,46,Male,PhD,Economics,PhD in Economics,"Forecasting, Econometrics, Statistical Analysis, Data Visualization, R",2010,15,CFA,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
5053,1200180008348635,KAMALI Alice,24,Male,Bachelor's,Accounting,Bachelor's in Accounting,"SAP, Auditing, CPA, Taxation, QuickBooks, Excel",2024,1,CFA,Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
5054,1199470002111697,MUKAGASANA Jean,31,Female,Bachelor's,Education,Bachelor's in Education,"Assessment, Curriculum Development, Classroom Management, Lesson Planning, Educational Technology",2017,8,None,Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",1
5055,1197970002684186,MUKASHYAKA Emmanuel,46,Female,Bachelor's,Economics,Bachelor's in Economics,"Econometrics, Data Visualization, Statistical Analysis, R, Python",2001,24,"Certified Business Economist, FRM",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
5056,1196780006565666,TWAGIRAYEZU Eric,58,Male,Bachelor's,Business Administration,Bachelor's in Business Administration,"Business Analysis, Negotiation, Leadership",1990,35,Six Sigma,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
5057,1199170006769875,MUKASHYAKA Diane,34,Female,Master's,Information Technology,Master's in Information Technology,"ITIL, Cybersecurity, Windows Server, Database Administration, Networking",2020,5,"CompTIA A+, ITIL Foundation, CISM",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
5058,1197080008017454,HABIMANA Peter,55,Male,Bachelor's,Marketing,Bachelor's in Marketing,"Content Marketing, Google Analytics, Social Media, Email Marketing, Market Research, SEO",1995,30,None,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
5059,1200080006626979,NSENGIYUMVA Paul,25,Male,Diploma,Accounting,Diploma in Accounting,"SAP, Excel, Financial Reporting, CPA",2022,3,"CFA, CIA",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",1
5060,2196880006588608,KAMALI Olivier,57,Male,Bachelor's,Information Technology,Bachelor's in Information Technology,"Networking, ITIL, Database Administration, Linux, Cloud Computing",1991,34,"CISM, CompTIA A+, CEH",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
5061,1198880006840615,RUKUNDO Theogene,37,Male,Diploma,Engineering,Diploma in Engineering,"MATLAB, SolidWorks, Project Management, AutoCAD, Technical Drawing, Quality Control",2009,16,LEED,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
5062,1197970001168031,MUKAMUSONERA Florence,46,Female,PhD,Business Administration,PhD in Business Administration,"Business Analysis, Communication, Project Management, Negotiation",2007,18,CFA,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
5063,1198880004079820,NSENGIYUMVA Eric,37,Male,Diploma,Nursing,Diploma in Nursing,"Emergency Response, Patient Care, Medical Records, CPR",2011,14,None,Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",1
5064,2199470004207121,MUKARUHOGO Chantal,31,Female,Bachelor's,Information Technology,Bachelor's in Information Technology,"Networking, Linux, Cybersecurity, Database Administration, Windows Server, Cloud Computing",2017,8,"CCNA, ITIL Foundation, CEH",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
5065,1199870004083975,MUKAYIRANGA Diane,27,Female,Master's,Nursing,Master's in Nursing,"Emergency Response, Medical Records, Clinical Skills",2025,0,"ACLS, CCRN",Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",1
5066,1198470000744914,MUKARUHOGO Eric,41,Female,PhD,Information Technology,PhD in Information Technology,"ITIL, Windows Server, Cybersecurity, Networking",2013,12,None,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
5067,1198870007932154,MUKARUHOGO Grace,37,Female,Master's,Law,Master's in Law,"Compliance, Negotiation, Corporate Law",2014,11,"Bar Admission, CPLP",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",1
5068,1196670005269814,MUKAMANA Chantal,59,Female,Diploma,Engineering,Diploma in Engineering,"AutoCAD, Project Management, SolidWorks",1989,36,"LEED, Six Sigma Green Belt, PE License",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
5069,1197170006963177,MUKANYIRABUKA Claudine,54,Female,Bachelor's,Marketing,Bachelor's in Marketing,"Content Marketing, SEO, Google Analytics",1993,32,None,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
5070,1197880004231966,KAMALI Marie,47,Male,Master's,Law,Master's in Law,"Legal Research, Litigation, Corporate Law",2007,18,"CPLP, Certified Legal Manager",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
5071,1199870002903668,MUKASHYAKA Jean,27,Female,Diploma,Economics,Diploma in Economics,"R, Python, Statistical Analysis",2020,5,Certified Business Economist,Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
5072,1198970008798781,MUKARUHOGO Olivier,36,Female,PhD,Computer Science,PhD in Computer Science,"C++, Machine Learning, SQL, Data Structures",2017,8,"Oracle Java, Azure Fundamentals",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
5073,1197780006126240,HABIMANA Theogene,48,Male,Master's,Engineering,Master's in Engineering,"Quality Control, Project Management, AutoCAD, Technical Drawing",2006,19,"LEED, Six Sigma Green Belt, PMI-PMP",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
5074,1198480006953020,RUTAYISIRE Chantal,41,Male,Master's,Nursing,Master's in Nursing,"Patient Care, Medical Records, Clinical Skills, Healthcare Ethics",2009,16,CCRN,Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",0
5075,1200380007970354,NDAYISENGA Claudine,22,Male,Bachelor's,Law,Bachelor's in Law,"Negotiation, Corporate Law, Litigation, Legal Research, Contract Law",2025,0,None,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
5076,1198370007600677,MUKAGASANA Peter,42,Female,PhD,Economics,PhD in Economics,"Statistical Analysis, R, Data Visualization, Econometrics",2013,12,"FRM, CFA",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
5077,1199880007164032,NSENGIYUMVA Eric,27,Male,Bachelor's,Economics,Bachelor's in Economics,"Forecasting, Econometrics, Python, Data Visualization, Statistical Analysis, R",2022,3,None,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",1
5078,1197770007418786,MUKAMANA Jean,48,Female,Master's,Education,Master's in Education,"Educational Technology, Assessment, Curriculum Development, Lesson Planning, Classroom Management",2001,24,"National Board Certification, Teaching License",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
5079,1197680007531430,HABIMANA Peter,49,Male,Bachelor's,Nursing,Bachelor's in Nursing,"Patient Care, Healthcare Ethics, Clinical Skills, Emergency Response, Medical Records, CPR",1998,27,"ACLS, NCLEX-RN",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
5080,2199370005855122,MUKANDORI Emmanuel,32,Female,PhD,Education,PhD in Education,"Educational Technology, Curriculum Development, Assessment, Classroom Management, Lesson Planning",2022,3,CPCE,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
5081,1198770006909363,MUKARUHOGO Peter,38,Female,Master's,Marketing,Master's in Marketing,"SEO, Social Media, Google Analytics, Email Marketing",2014,11,None,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
5082,2197070007112781,MUKANDORI Diane,55,Female,Master's,Marketing,Master's in Marketing,"SEO, Google Analytics, Market Research, Email Marketing",1994,31,None,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
5083,1198180006657200,MUTABAZI Emmanuel,44,Male,PhD,Marketing,PhD in Marketing,"SEO, Email Marketing, Market Research, Google Analytics",2009,16,HubSpot Certification,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
5084,1199570004960133,MUKAMANA Grace,30,Female,Bachelor's,Economics,Bachelor's in Economics,"Forecasting, Econometrics, R, Python, Statistical Analysis",2019,6,None,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",1
5085,2197770004967194,MUKARUHOGO Grace,48,Female,Master's,Education,Master's in Education,"Classroom Management, Curriculum Development, Lesson Planning",2004,21,National Board Certification,Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
5086,1199880001653775,HABIMANA Chantal,27,Male,Bachelor's,Accounting,Bachelor's in Accounting,"QuickBooks, Auditing, Financial Reporting, Excel",2023,2,None,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",1
5087,1199370009677572,MUKASHYAKA Alice,32,Female,Bachelor's,Economics,Bachelor's in Economics,"Statistical Analysis, R, Forecasting, Econometrics, Data Visualization",2017,8,None,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",1
5088,1198170009382314,MUKANDORI Jean,44,Female,Bachelor's,Economics,Bachelor's in Economics,"Python, R, Data Visualization",2003,22,None,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
5089,1199570000667155,MUKANYIRABUKA Jean,30,Female,Master's,Nursing,Master's in Nursing,"Medical Records, Patient Care, Healthcare Ethics, CPR, Emergency Response, Clinical Skills",2021,4,"PALS, CCRN, BLS",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
5090,2198370002364748,MUKANYIRABUKA Florence,42,Female,Master's,Business Administration,Master's in Business Administration,"Negotiation, Leadership, Communication, Strategic Planning",2007,18,"PMP, Six Sigma, CFA",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
5091,1198470001822248,MUKANDORI Paul,41,Female,Master's,Engineering,Master's in Engineering,"Technical Drawing, AutoCAD, SolidWorks, Project Management, Quality Control",2010,15,"Six Sigma Green Belt, PE License, PMI-PMP",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",1
5092,2199780006788235,KAMALI Claudine,28,Male,Bachelor's,Accounting,Bachelor's in Accounting,"Auditing, Taxation, SAP, Excel",2019,6,"CFA, ACCA",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",1
5093,1196580000380978,HABIYAREMYE Jean,60,Male,Master's,Economics,Master's in Economics,"Statistical Analysis, Python, Data Visualization, Forecasting, Econometrics",1992,33,Certified Business Economist,Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
5094,1198080007098636,NDAYISENGA Eric,45,Male,PhD,Economics,PhD in Economics,"Econometrics, Forecasting, Python, R, Data Visualization",2014,11,"FRM, CFA, Certified Business Economist",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
5095,1198680008172258,KAMALI Peter,39,Male,Bachelor's,Computer Science,Bachelor's in Computer Science,"C++, SQL, Data Structures, Python, Machine Learning, Algorithms",2009,16,CISSP,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",1
5096,1198070007578401,MUKANDAYA Claudine,45,Female,Master's,Business Administration,Master's in Business Administration,"Communication, Strategic Planning, Negotiation, Leadership, Business Analysis, Project Management",2009,16,CFA,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
5097,1197980002759454,KALISA Theogene,46,Male,Diploma,Law,Diploma in Law,"Contract Law, Negotiation, Corporate Law, Litigation, Legal Research",2000,25,"Bar Admission, CPLP",Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",0
